[2026-02-03 18:11:49,409] INFO | src.models.train | Using device: cpu
[2026-02-07 12:59:08,456] INFO | src.data.ingest | Starting data ingestion
[2026-02-07 12:59:08,456] INFO | src.data.ingest | Zip path: data\sources\archive.zip
[2026-02-07 12:59:08,457] INFO | src.data.ingest | Extract directory: data\raw
[2026-02-07 12:59:08,458] INFO | src.data.ingest | Extract dir created
[2026-02-07 12:59:08,814] INFO | src.data.ingest | Extracting 35887 files from zip
[2026-02-07 13:00:02,839] INFO | src.data.ingest | Data ingestion completed successfully
[2026-02-07 13:04:03,162] INFO | src.data.ingest | Starting data ingestion
[2026-02-07 13:04:03,162] INFO | src.data.ingest | Zip path: data\sources\archive.zip
[2026-02-07 13:04:03,163] INFO | src.data.ingest | Extract directory: data\raw
[2026-02-07 13:04:03,163] INFO | src.data.ingest | Extract dir created
[2026-02-07 13:04:03,935] INFO | src.data.ingest | Extracting 35887 files from zip
[2026-02-07 14:25:23,712] INFO | src.data.validate | Starting data validation
[2026-02-07 14:25:23,713] INFO | src.data.validate | Validating dataset splits
[2026-02-07 14:25:23,713] INFO | src.data.validate | All split folders are present
[2026-02-07 14:25:23,713] INFO | src.data.validate | Validating class consistency across splits
[2026-02-07 14:25:23,714] INFO | src.data.validate | Classes validated: ['angry', 'disgusted', 'fearful', 'happy', 'neutral', 'sad', 'surprised']
[2026-02-07 14:25:23,715] INFO | src.data.validate | Validating split: train
[2026-02-07 14:25:23,858] INFO | src.data.validate | Validating split: test
[2026-02-07 14:25:23,880] INFO | src.data.validate | Data validation completed successfully
[2026-02-07 22:05:41,787] INFO | src.models.train | Using device: cpu
[2026-02-07 22:05:41,787] INFO | src.models.train | Training started.
[2026-02-07 22:05:41,788] INFO | src.features.dataloader | Initializing dataloaders
[2026-02-07 22:05:41,788] INFO | src.features.dataloader | Processed data directory: data\processed
[2026-02-07 22:05:41,788] INFO | src.features.dataloader | Batch size: 32
[2026-02-07 22:05:42,115] INFO | src.features.dataloader | Train samples: 28709
[2026-02-07 22:05:42,115] INFO | src.features.dataloader | Test samples: 7178
[2026-02-07 22:05:42,116] INFO | src.features.dataloader | Dataloaders created successfully
